date,activity,duration_minutes,start_time
2026-09-08,VS Code,120,08:00
2026-09-08,WhatsApp,20,10:00
2026-09-08,Instagram,90,10:20
2026-09-08,Google Search,45,11:50
2026-09-08,YouTube Tutorial,50,12:35
2026-09-08,YouTube,50,13:25
2026-09-08,LinkedIn,25,14:15
2026-09-08,Spotify,60,14:40
2026-09-09,VS Code,150,09:00
2026-09-09,WhatsApp,15,11:30
2026-09-09,Instagram,100,11:45
2026-09-09,Google Search,30,13:25
2026-09-09,YouTube Tutorial,30,13:55
2026-09-09,YouTube,40,14:25
2026-09-09,TikTok,55,15:05
2026-09-09,Netflix,90,16:00
2026-09-10,Zoom Meeting,45,09:00
2026-09-10,VS Code,90,09:45
2026-09-10,Google Search,50,11:15
2026-09-10,WhatsApp,25,12:05
2026-09-10,Instagram,110,12:30
2026-09-10,YouTube Tutorial,40,14:20
2026-09-10,YouTube,90,15:00
2026-09-10,Duolingo,15,16:30
